"commit_id","equipo","modulo","prioridad","lead_time_horas","lineas_cambiadas","num_bugs","deploy_status"
"PR-10129","Alpha","Billing","Crítica",45,494,4,"failed"
"PR-10130","Alpha","Billing","Baja",2,56,0,"success"
"PR-10131","Alpha","Frontend-UI","Baja",2,74,1,"failed"
"PR-10132","Gamma","Core-API","Alta",18.24,258,0,"success"
"PR-10133","Delta","Frontend-UI","Media",7,246,1,"success"
"PR-10134","Beta","Billing","Media",3,10,0,"success"
"PR-10135","Beta","Auth-Service","Media",10,54,0,"success"
"PR-10136","Alpha","Database","Baja",2,183,3,"failed"
"PR-10137","Alpha","Core-API","Alta",1.59,109,1,"success"
"PR-10138","Gamma","Billing","Baja",274,3362,21,"failed"
"PR-10139","Alpha","Core-API","Baja",309.87,3956,12,"success"
"PR-10140","Gamma","Database","Media",64.33,723,1,"success"
"PR-10141","Beta","Database","Baja",3.26,191,0,"success"
"PR-10142","Alpha","Billing","Crítica",28.61,415,3,"success"
"PR-10143","Alpha","Core-API","Crítica",54,616,3,"success"
"PR-10144","Delta","Billing","Media",2.11,117,0,"success"
"PR-10145","Gamma","Frontend-UI","Alta",2,251,2,"success"
"PR-10146","Gamma","Frontend-UI","Alta",196,2640,10,"failed"
"PR-10147","Beta","Auth-Service","Baja",2.59,10,0,"success"
"PR-10148","Alpha","Auth-Service","Media",41.52,570,0,"success"
"PR-10149","Delta","Auth-Service","Baja",4,50,0,"success"
"PR-10150","Delta","Database","Alta",45,447,1,"success"
"PR-10151","Alpha","Frontend-UI","Media",6,247,1,"success"
"PR-10152","Beta","Core-API","Baja",35.43,312,2,"failed"
"PR-10153","Beta","Billing","Alta",4.08,150,0,"success"
"PR-10154","Delta","Core-API","Media",42.4,339,0,"success"
"PR-10155","Beta","Database","Alta",244,3065,14,"failed"
"PR-10156","Gamma","Auth-Service","Media",41.51,272,1,"success"
"PR-10157","Alpha","Core-API","Media",2.81,63,0,"success"
"PR-10158","Gamma","Billing","Media",1,10,0,"rolled_back"
"PR-10159","Alpha","Frontend-UI","Crítica",271,3258,11,"success"
"PR-10160","Gamma","Frontend-UI","Crítica",4.77,105,1,"success"
"PR-10161","Beta","Auth-Service","Media",95,1376,4,"failed"
"PR-10162","Gamma","Core-API","Baja",4.35,140,1,"failed"
"PR-10163","Alpha","Frontend-UI","Media",9,177,0,"success"
"PR-10164","Gamma","Billing","Baja",51,498,1,"success"
"PR-10165","Delta","Billing","Baja",24,237,1,"rolled_back"
"PR-10166","Alpha","Auth-Service","Alta",3,258,0,"success"
"PR-10167","Gamma","Database","Alta",69.4,857,3,"failed"
"PR-10168","Gamma","Core-API","Media",5,332,0,"success"
"PR-10169","Beta","Auth-Service","Media",6,10,0,"success"
"PR-10170","Alpha","Frontend-UI","Baja",35.65,645,0,"success"
"PR-10171","Alpha","Frontend-UI","Alta",53.97,675,3,"rolled_back"
"PR-10172","Beta","Core-API","Alta",4,47,2,"success"
"PR-10173","Alpha","Database","Alta",41,522,2,"success"
"PR-10174","Gamma","Core-API","Media",69.66,832,1,"success"
"PR-10175","Gamma","Billing","Media",7.06,189,0,"success"
"PR-10176","Beta","Auth-Service","Crítica",1.03,10,0,"success"
"PR-10177","Delta","Frontend-UI","Baja",38,327,2,"failed"
"PR-10178","Beta","Database","Media",2.21,303,1,"success"
"PR-10179","Alpha","Auth-Service","Baja",6,10,0,"success"
"PR-10180","Delta","Frontend-UI","Alta",1,75,0,"success"
"PR-10181","Alpha","Database","Baja",37,677,2,"failed"
"PR-10182","Alpha","Frontend-UI","Alta",5.91,33,0,"success"
"PR-10183","Beta","Database","Baja",6.16,266,0,"success"
"PR-10184","Beta","Auth-Service","Media",2,164,1,"success"
"PR-10185","Gamma","Core-API","Crítica",66.15,887,3,"failed"
"PR-10186","Beta","Database","Media",2.06,126,2,"success"
"PR-10187","Beta","Core-API","Media",251,3134,10,"failed"
"PR-10188","Beta","Billing","Media",24,319,3,"success"
"PR-10189","Beta","Database","Alta",61,532,5,"success"
"PR-10190","Delta","Database","Media",1.79,96,0,"success"
"PR-10191","Delta","Auth-Service","Baja",1.7,52,1,"failed"
"PR-10192","Delta","Frontend-UI","Media",1,249,1,"success"
"PR-10193","Beta","Auth-Service","Media",42,488,2,"success"
"PR-10194","Gamma","Auth-Service","Media",43,541,1,"failed"
"PR-10195","Delta","Frontend-UI","Crítica",3,40,0,"success"
"PR-10196","Gamma","Auth-Service","Baja",62.51,942,0,"success"
"PR-10197","Gamma","Frontend-UI","Baja",46,474,1,"success"
"PR-10198","Delta","Core-API","Baja",1.39,134,0,"success"
"PR-10199","Beta","Billing","Alta",81.39,1048,4,"failed"
"PR-10200","Gamma","Auth-Service","Crítica",2,69,0,"success"
"PR-10201","Gamma","Database","Media",1.35,102,0,"success"
"PR-10202","Alpha","Frontend-UI","Media",2,127,0,"success"
"PR-10203","Beta","Billing","Alta",6.37,79,0,"success"
"PR-10204","Alpha","Billing","Media",55,579,3,"success"
"PR-10205","Beta","Frontend-UI","Baja",9,96,1,"success"
"PR-10206","Gamma","Auth-Service","Media",230,2852,13,"success"
"PR-10207","Alpha","Frontend-UI","Media",282.8,3514,14,"failed"
"PR-10208","Gamma","Billing","Alta",62.51,709,1,"success"
"PR-10209","Beta","Auth-Service","Crítica",5.53,150,2,"success"
"PR-10210","Alpha","Auth-Service","Media",3.65,10,0,"success"
"PR-10211","Alpha","Auth-Service","Baja",3,10,0,"success"
"PR-10212","Beta","Core-API","Media",24.41,397,4,"success"
"PR-10213","Delta","Billing","Alta",1.22,10,0,"success"
"PR-10214","Delta","Database","Media",24.27,527,1,"success"
"PR-10215","Alpha","Billing","Media",5.36,209,0,"success"
"PR-10216","Alpha","Frontend-UI","Media",2.44,10,0,"success"
"PR-10217","Delta","Database","Media",67,776,5,"failed"
"PR-10218","Delta","Auth-Service","Baja",75.27,1270,7,"failed"
"PR-10219","Delta","Auth-Service","Media",48,779,7,"success"
"PR-10220","Beta","Database","Media",72,1000,2,"failed"
"PR-10221","Delta","Frontend-UI","Alta",67.69,802,4,"success"
"PR-10222","Beta","Billing","Alta",6.14,10,1,"success"
"PR-10223","Beta","Frontend-UI","Media",4,19,0,"success"
"PR-10224","Delta","Database","Media",86,1109,5,"rolled_back"
"PR-10225","Beta","Billing","Media",7,133,2,"success"
"PR-10226","Beta","Billing","Media",46.57,293,2,"success"
"PR-10227","Beta","Database","Baja",6,217,1,"success"
"PR-10228","Beta","Billing","Crítica",7,105,0,"success"
"PR-10229","Beta","Billing","Media",70,955,4,"success"
"PR-10230","Gamma","Billing","Crítica",2.79,95,0,"success"
"PR-10231","Gamma","Frontend-UI","Media",276,3214,10,"failed"
"PR-10232","Beta","Database","Crítica",3,10,0,"success"
"PR-10233","Beta","Billing","Crítica",59.68,748,4,"failed"
"PR-10234","Gamma","Frontend-UI","Alta",8,214,2,"success"
"PR-10235","Gamma","Core-API","Media",7.08,10,0,"success"
"PR-10236","Alpha","Billing","Media",31,426,1,"success"
"PR-10237","Gamma","Frontend-UI","Alta",3,62,1,"success"
"PR-10238","Gamma","Billing","Media",148,2049,7,"rolled_back"
"PR-10239","Gamma","Billing","Crítica",78.49,852,3,"success"
"PR-10240","Beta","Billing","Media",6.57,10,0,"failed"
"PR-10241","Gamma","Database","Baja",72,861,4,"success"
"PR-10242","Beta","Core-API","Media",6,429,2,"failed"
"PR-10243","Alpha","Frontend-UI","Alta",2.39,40,0,"success"
"PR-10244","Beta","Frontend-UI","Media",32.59,359,3,"success"
"PR-10245","Delta","Billing","Alta",6,208,2,"failed"
"PR-10246","Alpha","Frontend-UI","Alta",0.65,242,1,"failed"
"PR-10247","Gamma","Core-API","Media",35.09,312,2,"success"
"PR-10248","Alpha","Database","Baja",3,10,0,"success"
"PR-10249","Gamma","Frontend-UI","Media",37.19,241,2,"success"
"PR-10250","Alpha","Billing","Baja",73,809,1,"success"
"PR-10251","Alpha","Core-API","Crítica",41.42,535,0,"success"
"PR-10252","Alpha","Core-API","Alta",9,170,0,"success"
"PR-10253","Beta","Billing","Media",136,1740,6,"rolled_back"
"PR-10254","Alpha","Billing","Media",3,196,2,"success"
"PR-10255","Gamma","Core-API","Crítica",52,580,2,"failed"
"PR-10256","Gamma","Billing","Media",35.27,463,3,"success"
"PR-10257","Delta","Auth-Service","Crítica",0.77,127,0,"success"
"PR-10258","Gamma","Auth-Service","Alta",10.76,348,1,"success"
"PR-10259","Alpha","Frontend-UI","Media",3.95,64,0,"success"
"PR-10260","Beta","Core-API","Baja",31,336,0,"success"
"PR-10261","Delta","Auth-Service","Baja",3,236,0,"success"
"PR-10262","Delta","Auth-Service","Alta",55,878,3,"success"
"PR-10263","Alpha","Database","Crítica",8.67,168,0,"success"
"PR-10264","Delta","Billing","Baja",4,168,0,"success"
"PR-10265","Beta","Billing","Crítica",1,10,1,"success"
"PR-10266","Alpha","Database","Alta",68.7,923,4,"failed"
"PR-10267","Beta","Core-API","Crítica",5,115,1,"success"
"PR-10268","Delta","Billing","Baja",3.79,303,2,"success"
"PR-10269","Alpha","Billing","Alta",3.24,41,1,"success"
"PR-10270","Gamma","Database","Media",3.09,381,1,"success"
"PR-10271","Delta","Frontend-UI","Alta",43,497,1,"success"
"PR-10272","Delta","Frontend-UI","Media",2,10,0,"success"
"PR-10273","Gamma","Auth-Service","Alta",50,580,6,"success"
"PR-10274","Beta","Billing","Media",3.35,131,1,"success"
"PR-10275","Beta","Database","Media",4,115,0,"success"
"PR-10276","Delta","Auth-Service","Baja",39,529,2,"success"
"PR-10277","Delta","Auth-Service","Media",4.4,10,0,"success"
"PR-10278","Alpha","Core-API","Baja",2.78,10,0,"success"
"PR-10279","Gamma","Billing","Media",63.7,998,0,"success"
"PR-10280","Delta","Billing","Alta",270,3446,22,"success"
"PR-10281","Beta","Database","Media",37,571,1,"success"
"PR-10282","Gamma","Billing","Media",6.84,72,0,"success"
"PR-10283","Alpha","Auth-Service","Media",43,763,3,"rolled_back"
"PR-10284","Gamma","Frontend-UI","Media",45,600,1,"success"
"PR-10285","Beta","Billing","Baja",2.61,103,0,"success"
"PR-10286","Beta","Core-API","Media",6,267,0,"success"
"PR-10287","Alpha","Core-API","Alta",46.23,745,4,"success"
"PR-10288","Gamma","Billing","Alta",4,126,0,"success"
"PR-10289","Alpha","Core-API","Alta",47.94,507,1,"rolled_back"
"PR-10290","Alpha","Database","Media",13.5,329,1,"success"
"PR-10291","Delta","Core-API","Baja",68,1013,3,"rolled_back"
"PR-10292","Gamma","Billing","Media",3,23,0,"success"
"PR-10293","Beta","Billing","Baja",62.68,783,1,"success"
"PR-10294","Gamma","Database","Media",3,114,1,"success"
"PR-10295","Delta","Auth-Service","Baja",46.43,661,2,"success"
"PR-10296","Alpha","Frontend-UI","Alta",3,88,0,"success"
"PR-10297","Alpha","Core-API","Alta",27.1,314,0,"success"
"PR-10298","Gamma","Billing","Media",0.84,10,0,"success"
"PR-10299","Gamma","Core-API","Media",5,191,1,"success"
"PR-10300","Beta","Core-API","Media",2.95,59,0,"success"
"PR-10301","Alpha","Auth-Service","Crítica",53.84,581,4,"success"
"PR-10302","Alpha","Frontend-UI","Alta",37,446,4,"success"
"PR-10303","Alpha","Frontend-UI","Media",3.84,10,0,"success"
"PR-10304","Gamma","Frontend-UI","Media",4.56,163,1,"success"
"PR-10305","Alpha","Database","Media",31,332,1,"success"
"PR-10306","Beta","Core-API","Media",40.41,655,4,"failed"
"PR-10307","Gamma","Billing","Media",24,198,1,"success"
"PR-10308","Alpha","Frontend-UI","Crítica",60.96,856,2,"failed"
"PR-10309","Gamma","Frontend-UI","Alta",57.69,817,1,"success"
"PR-10310","Beta","Core-API","Alta",5.34,247,2,"success"
"PR-10311","Beta","Billing","Media",33.32,573,2,"success"
"PR-10312","Gamma","Frontend-UI","Crítica",4,14,1,"success"
"PR-10313","Beta","Core-API","Baja",5.53,161,0,"success"
"PR-10314","Delta","Core-API","Baja",35.46,576,0,"success"
"PR-10315","Beta","Auth-Service","Media",3,245,2,"rolled_back"
"PR-10316","Beta","Core-API","Crítica",29,325,1,"success"
"PR-10317","Beta","Frontend-UI","Baja",246,3007,9,"success"
"PR-10318","Beta","Database","Alta",3,178,0,"rolled_back"
"PR-10319","Beta","Auth-Service","Media",1,120,1,"success"
"PR-10320","Delta","Auth-Service","Alta",29,335,0,"success"
"PR-10321","Gamma","Database","Baja",41.26,530,3,"failed"
"PR-10322","Beta","Frontend-UI","Alta",68.07,912,4,"success"
"PR-10323","Alpha","Billing","Alta",4,126,0,"success"
"PR-10324","Beta","Billing","Media",36.36,411,1,"failed"
"PR-10325","Alpha","Database","Media",3,88,1,"success"
"PR-10326","Beta","Database","Media",11,268,0,"success"
"PR-10327","Delta","Frontend-UI","Baja",28,479,2,"success"
"PR-10328","Alpha","Database","Alta",3,194,0,"success"
"PR-10329","Gamma","Core-API","Baja",36,616,4,"rolled_back"
"PR-10330","Gamma","Frontend-UI","Crítica",34.83,370,1,"success"
"PR-10331","Beta","Auth-Service","Alta",50.56,735,2,"success"
"PR-10332","Delta","Billing","Alta",7,65,0,"success"
"PR-10333","Beta","Core-API","Media",1.95,10,0,"success"
"PR-10334","Beta","Billing","Alta",16,286,0,"success"
"PR-10335","Gamma","Database","Alta",1,52,0,"success"
"PR-10336","Beta","Frontend-UI","Media",8,294,1,"success"
"PR-10337","Delta","Auth-Service","Baja",3.85,51,1,"success"
"PR-10338","Alpha","Core-API","Media",49,657,3,"failed"
"PR-10339","Beta","Frontend-UI","Media",1.65,10,0,"success"
"PR-10340","Alpha","Core-API","Media",53.28,736,3,"success"
"PR-10341","Beta","Frontend-UI","Baja",33.58,291,0,"success"
"PR-10342","Alpha","Frontend-UI","Crítica",3,10,1,"success"
"PR-10343","Alpha","Core-API","Crítica",73.96,800,3,"success"
"PR-10344","Delta","Database","Media",4.25,10,0,"success"
"PR-10345","Beta","Auth-Service","Crítica",35,199,0,"success"
"PR-10346","Gamma","Billing","Media",91.25,1106,5,"success"
"PR-10347","Delta","Frontend-UI","Alta",0,49,0,"success"
"PR-10348","Delta","Frontend-UI","Media",42.97,644,2,"success"
"PR-10349","Delta","Frontend-UI","Media",7,10,1,"success"
"PR-10350","Delta","Auth-Service","Media",1.41,114,0,"success"
"PR-10351","Beta","Database","Alta",3.99,59,0,"success"
"PR-10352","Alpha","Core-API","Baja",5.03,10,1,"success"
"PR-10353","Beta","Frontend-UI","Media",4.77,87,0,"success"
"PR-10354","Gamma","Billing","Baja",72,866,2,"success"
"PR-10355","Beta","Auth-Service","Alta",6,94,0,"success"
"PR-10356","Gamma","Auth-Service","Alta",23.92,347,1,"success"
"PR-10357","Beta","Database","Crítica",43.54,658,0,"success"
"PR-10358","Beta","Billing","Media",4,183,1,"failed"
"PR-10359","Beta","Billing","Media",47.56,488,2,"success"
"PR-10360","Gamma","Auth-Service","Baja",95,1191,5,"success"
"PR-10361","Delta","Billing","Alta",3.52,88,1,"success"
"PR-10362","Delta","Auth-Service","Baja",297,3723,14,"success"
"PR-10363","Gamma","Frontend-UI","Media",18.47,155,2,"success"
"PR-10364","Beta","Billing","Alta",5,10,0,"success"
"PR-10365","Beta","Billing","Alta",1,10,0,"success"
"PR-10366","Gamma","Frontend-UI","Media",54,666,6,"success"
"PR-10367","Alpha","Billing","Alta",65.04,798,3,"success"
"PR-10368","Gamma","Frontend-UI","Media",5,147,1,"success"
"PR-10369","Alpha","Database","Media",39,415,5,"rolled_back"
"PR-10370","Alpha","Auth-Service","Media",22,320,3,"success"
"PR-10371","Beta","Core-API","Alta",4.72,10,1,"success"
"PR-10372","Alpha","Frontend-UI","Media",53,860,2,"success"
"PR-10373","Gamma","Frontend-UI","Media",2.66,248,1,"success"
"PR-10374","Gamma","Database","Alta",2.68,182,1,"failed"
"PR-10375","Beta","Core-API","Baja",159,2081,4,"success"
"PR-10376","Alpha","Frontend-UI","Baja",5,124,2,"rolled_back"
"PR-10377","Gamma","Database","Alta",76,1001,5,"rolled_back"
"PR-10378","Delta","Database","Media",2.06,10,0,"failed"
"PR-10379","Gamma","Billing","Crítica",1.83,139,0,"success"
"PR-10380","Delta","Database","Media",1,10,0,"success"
"PR-10381","Beta","Core-API","Crítica",59,931,4,"success"
"PR-10382","Beta","Core-API","Alta",48,608,7,"rolled_back"
"PR-10383","Alpha","Database","Media",49.26,733,3,"success"
"PR-10384","Alpha","Core-API","Baja",214.19,2666,12,"failed"
"PR-10385","Alpha","Frontend-UI","Alta",43,624,2,"success"
"PR-10386","Gamma","Database","Media",40.68,331,1,"success"
"PR-10387","Alpha","Database","Media",0.47,136,0,"success"
"PR-10388","Beta","Frontend-UI","Baja",169,2234,7,"success"
"PR-10389","Delta","Frontend-UI","Baja",6.09,10,0,"success"
"PR-10390","Alpha","Auth-Service","Alta",5.21,91,1,"success"
"PR-10391","Alpha","Database","Alta",7,10,0,"success"
"PR-10392","Beta","Frontend-UI","Alta",48.7,442,3,"failed"
"PR-10393","Alpha","Database","Alta",59,762,5,"failed"
"PR-10394","Delta","Core-API","Alta",4,10,0,"success"
"PR-10395","Alpha","Billing","Media",3.34,10,0,"success"
"PR-10396","Alpha","Frontend-UI","Media",46.58,616,2,"success"
"PR-10397","Gamma","Core-API","Baja",72,671,8,"rolled_back"
"PR-10398","Beta","Auth-Service","Crítica",63.15,743,2,"rolled_back"
"PR-10399","Gamma","Billing","Media",5.04,74,1,"success"
"PR-10400","Gamma","Auth-Service","Media",1.17,215,0,"success"
"PR-10401","Alpha","Billing","Media",72.25,955,2,"success"
"PR-10402","Beta","Core-API","Alta",3,67,0,"success"
"PR-10403","Beta","Core-API","Baja",2.56,231,1,"success"
"PR-10404","Gamma","Database","Media",4,107,0,"success"
"PR-10405","Alpha","Core-API","Media",6.32,10,1,"success"
"PR-10406","Delta","Frontend-UI","Media",10,127,0,"success"
"PR-10407","Gamma","Database","Media",23.02,381,0,"success"
"PR-10408","Alpha","Core-API","Media",34.01,136,0,"success"
"PR-10409","Gamma","Billing","Media",2,187,0,"failed"
"PR-10410","Beta","Auth-Service","Alta",35,537,1,"success"
"PR-10411","Gamma","Database","Baja",70.16,994,4,"failed"
"PR-10412","Beta","Auth-Service","Baja",1.48,66,1,"success"
"PR-10413","Beta","Billing","Alta",54,814,2,"success"
"PR-10414","Gamma","Database","Alta",5,230,0,"failed"
"PR-10415","Delta","Billing","Alta",168.51,2175,8,"success"
"PR-10416","Gamma","Billing","Media",2,169,2,"success"
"PR-10417","Alpha","Billing","Media",120,1409,7,"failed"
"PR-10418","Beta","Core-API","Baja",8,366,2,"success"
"PR-10419","Beta","Database","Alta",37.59,612,1,"success"
"PR-10420","Beta","Core-API","Baja",120,1508,0,"success"
"PR-10421","Beta","Billing","Alta",50.55,711,3,"success"
"PR-10422","Delta","Auth-Service","Media",36,618,6,"success"
"PR-10423","Alpha","Core-API","Media",1,134,0,"success"
"PR-10424","Beta","Billing","Media",2.33,11,0,"success"
"PR-10425","Gamma","Core-API","Alta",0.54,10,2,"rolled_back"
"PR-10426","Gamma","Core-API","Baja",69,990,8,"failed"
"PR-10427","Beta","Auth-Service","Crítica",7,360,0,"success"
"PR-10428","Beta","Frontend-UI","Baja",7.66,42,0,"success"
"PR-10429","Beta","Auth-Service","Baja",110.96,1346,6,"success"
"PR-10430","Alpha","Core-API","Media",4.13,90,0,"success"
"PR-10431","Gamma","Billing","Crítica",3,19,1,"success"
"PR-10432","Gamma","Core-API","Alta",49,678,4,"success"
"PR-10433","Gamma","Auth-Service","Crítica",292.24,3441,15,"rolled_back"
